source,destination,weight,specificyear
1997,Orthoptera,7,""
1997[1998],Orthoptera,7,""
1998,Blattodea,1,""
1998,Orthoptera,10,""
1999,Blattodea,2,""
1999,Lepidoptera,1,""
2002,Orthoptera,7,""
2003,Coleoptera,1,""
2003,Diplura,2,""
2003,Orthoptera,13,""
2005,Diplura,3,""
2005,Lepidoptera,1,""
2006,Diplura,4,""
2006,Ephemeroptera,1,""
Acari,Costa Rica,1,""
Acarina,Costa Rica,2,""
Amblypygi,South Africa,1,""
Araneae,United States,2,""
Blattodea,"",69,1916
Blattodea,Argentina,13,1921
Blattodea,Australia,10,1943
Blattodea,Bahamas,2,1916
Blattodea,Barbados,2,1916
Blattodea,Bermuda,1,1932
Blattodea,Bolivia,2,1928
Blattodea,Bonaire,1,1930
Blattodea,Brazil (Brasil),43,1921
Blattodea,Cameroon [=Kamerun?],3,1937
Blattodea,Chile,3,1933
Blattodea,Colombia,36,1919
Blattodea,Congo,2,1937
Blattodea,Costa Rica,11,1916
Blattodea,Cuba,18,1922
Blattodea,Dominican Republic (San Domingo),2,1927
Blattodea,Ecuador,2,1924
Blattodea,French Guiana,49,1926
Blattodea,Ghana,1,1937
Blattodea,Guatemala,2,1922
Blattodea,Guiana (British Guiana),19,1926
Blattodea,Haiti (Hayti),4,1932
Blattodea,Honduras,2,1945
Blattodea,Jamaica,22,1916
Blattodea,Java,4,1929
Blattodea,Liberia,1,1937
Blattodea,Malaysia,3,1929
Blattodea,Marquesas Islands,2,1935
Blattodea,Mexico,18,1921
Blattodea,Mozambique,1,1931
Blattodea,New Guinea,3,1979
Blattodea,Nicaragua,2,1902
Blattodea,Panama,22,1920
Blattodea,Paraguay,3,1937
Blattodea,Peru,10,1916
Blattodea,Puerto Rico,4,1932
Blattodea,Singapore,2,1929
Blattodea,South Africa,10,1933
Blattodea,Sumatra,13,1929
Blattodea,Trinidad,7,1906
Blattodea,Uganda,1,1932[1933]
Blattodea,United States,26,1917
Blattodea,Venezuela,1,1930
Blattodea,Zambia,1,1922
Blattodea,Zimbabwe,1,1937
Chilopoda,"",3,""
Chilopoda,China,1,""
Chilopoda,India (Bharat),1,""
Chilopoda,Singapore,1,""
Chilopoda,Surinam,1,""
Chilopoda,Trinidad,1,""
Chilopoda,United States,5,""
Chilopoda,Venezuela,1,""
Coleoptera,"",14,1945
Coleoptera,Andaman Islands,1,1879
Coleoptera,Angola,1,1908
Coleoptera,Australia,14,1891
Coleoptera,Bolivia,3,1945
Coleoptera,Brazil (Brasil),16,1946
Coleoptera,Brunei,2,1920
Coleoptera,Cambodia,1,1864
Coleoptera,Canada,11,1864
Coleoptera,Chile,2,1864
Coleoptera,China,2,""
Coleoptera,Colombia,6,""
Coleoptera,Congo,1,""
Coleoptera,Costa Rica,3,1920
Coleoptera,Cuba,2,1922
Coleoptera,Ecuador,1,2003
Coleoptera,Gabon,5,""
Coleoptera,Guiana (British Guiana),1,1946
Coleoptera,India (Bharat),3,1963
Coleoptera,Indonesia,2,1950
Coleoptera,Japan (Nippon),1,1898
Coleoptera,Java,2,1891
Coleoptera,Laos,1,""
Coleoptera,Madagascar,1,1890
Coleoptera,Malaysia,3,""
Coleoptera,Mexico,13,1862
Coleoptera,Moluccas,2,""
Coleoptera,Myanmar [=Burma],1,1963
Coleoptera,New Caledonia,2,1864
Coleoptera,New Guinea,4,1950
Coleoptera,Panama,1,""
Coleoptera,Paraguay,1,1945
Coleoptera,Philippines,3,""
Coleoptera,Senegal,1,1858
Coleoptera,Sierra Leone,1,""
Coleoptera,Sri Lanka (Ceylon),1,""
Coleoptera,Sumatra,11,1900
Coleoptera,Tanzania,2,1903
Coleoptera,United States,340,1916
Coleoptera,Venezuela,1,1965
Collembola,Japan (Nippon),2,1961
Collembola,United States,27,1959
Delete,"",65,""
Delete,Argentina,1,1906
Delete,New Guinea,1,1948
Dermaptera,"",2,1936
Dermaptera,Angola,1,1933
Dermaptera,Australia,1,1933
Dermaptera,Bahamas,1,1921
Dermaptera,Brazil (Brasil),2,1916
Dermaptera,Colombia,4,1919
Dermaptera,Congo,1,1936
Dermaptera,Costa Rica,3,1921
Dermaptera,Cuba,1,1925
Dermaptera,Ecuador,3,1924
Dermaptera,Ethiopia,1,1901
Dermaptera,Fiji Islands,1,1948
Dermaptera,India (Bharat),10,1923
Dermaptera,Indonesia,2,1946
Dermaptera,Jamaica,1,1917
Dermaptera,Kenya,1,1952
Dermaptera,Mexico,3,1917
Dermaptera,Myanmar [=Burma],1,1923
Dermaptera,Panama,2,1933
Dermaptera,Peru,2,1989
Dermaptera,Philippines,2,1946
Dermaptera,Sumatra,4,1927
Dermaptera,United States,4,1922
Diplopoda,"",2,""
Diplopoda,Bermuda,1,""
Diplopoda,United States,11,""
Diplura,Jamaica,2,2005
Diplura,United States,7,2005
Diptera,"",27,1898
