source,destination,weight,year
Diptera,Brennan,1,1935
Diptera,Bromley,2,1925
Diptera,Bromley,7,1927
Diptera,Bromley,1,1931
Diptera,Bromley,1,1934
Diptera,Bromley,14,1942
Diptera,Bromley,1,1950
Diptera,Chamberlin,2,""
Diptera,Cole,6,1923
Diptera,Coquillett In Johnson,2,1903
Diptera,Cresson,6,1906
Diptera,Cresson,4,1907
Diptera,Cresson,3,1908
Diptera,Cresson,1,1910
Diptera,Cresson,9,1911
Diptera,Cresson,5,1912
Diptera,Cresson,2,1913
Diptera,Cresson,9,1914
Diptera,Cresson,15,1915
Diptera,Cresson,15,1916
Diptera,Cresson,10,1917
Diptera,Cresson,29,1918
Diptera,Cresson,26,1919
Diptera,Cresson,8,1920
Diptera,Cresson,1,1921[1922]
Diptera,Cresson,2,1922
Diptera,Cresson,3,1923
Diptera,Cresson,7,1924
Diptera,Cresson,14,1925
Diptera,Cresson,21,1926
Diptera,Cresson,14,1929
Diptera,Cresson,17,1930
Diptera,Cresson,6,1931
Diptera,Cresson,8,1932
Diptera,Cresson,5,1933
Diptera,Cresson,12,1934
Diptera,Cresson,12,1935
Diptera,Cresson,5,1936
Diptera,Cresson,4,1938
Diptera,Cresson,2,1939
Diptera,Cresson,16,1940
Diptera,Cresson,7,1941
Diptera,Cresson,6,1942
Diptera,Cresson,4,1943
Diptera,Cresson,12,1944
Diptera,Cresson,2,1946
Diptera,Cresson,1,1947
Diptera,Cresson,3,1948
Diptera,Cresson,3,1949
Diptera,Curran,2,1925
Diptera,Dalmat,1,1942
Diptera,Dietz,1,""
Diptera,Dietz,6,1914
Diptera,Dietz,10,1916
Diptera,Dietz,4,1917
Diptera,Dietz,27,1918
Diptera,Dietz,6,1919
Diptera,Dietz,1,1920
Diptera,Dietz,32,1921
Diptera,Dodge,1,1966
Diptera,Fisher,8,1938
Diptera,Fisher,12,1939
Diptera,Fisher,3,1940
Diptera,Fisher,5,1941
Diptera,Garrett,1,1924
Diptera,Grote,2,1867
Diptera,Hine,1,1917
Diptera,Hine,3,1919
Diptera,Hine,1,1920
Diptera,Hough,7,1898
Diptera,Huckett,1,1934
Diptera,Huckett,11,1939
Diptera,Hull,9,1930
Diptera,Hull,1,1935
Diptera,Hull,21,1940
Diptera,James,6,1939
Diptera,James,1,1941
Diptera,Johnson,7,1898
Diptera,Johnson in Skinner,3,1903
Diptera,Laffoon,3,1957
Diptera,Leonard,1,1930
Diptera,Loew,1,1846
Diptera,Malloch,1,1913
Diptera,Malloch,38,1914
Diptera,Malloch,1,1915
Diptera,Malloch,30,1918
Diptera,Malloch,12,1920
Diptera,Melander,11,1902
Diptera,Melander,2,1906
Diptera,Melander,1,1913
Diptera,Melander,1,1918
Diptera,Melander,1,1927
Diptera,Oldroyd,2,1957
Diptera,Osten Sacken,46,1859
Diptera,Osten Sacken,1,1865
Diptera,Osten Sacken,2,1869
Diptera,Osten Sacken,2,1875
Diptera,Painter,1,1932
Diptera,Rapp,5,1943
Diptera,Roback,36,1957
Diptera,Roback,1,1958
Diptera,Roback,1,1959
Diptera,Roback,11,1960
Diptera,Roback,5,1962
Diptera,Roback,1,1965
Diptera,Roback,3,1971
Diptera,Roback,1,1979
Diptera,Roback,1,1980
Diptera,Roback,1,1981
Diptera,Roback,1,1982
Diptera,Roback,5,1983
Diptera,Roback,1,1985
Diptera,Roback,7,1987
Diptera,Roback & Rutter,1,1988
Diptera,Sabrosky,1,1950
Diptera,Soponis,1,1977
Diptera,Sturtevant & Wheeler,25,1954
Diptera,Van Duzee,4,1913
Diptera,Van Duzee,3,1914
Diptera,Van Duzee,1,1915
Diptera,Van Duzee,1,1919
Diptera,Van Duzee,3,1924
Diptera,Van Duzee,2,1926
Diptera,W. G. Dietz,1,1921
Diptera,Williston,2,1886[1887]
Diptera,Williston,1,1893
Ephemeroptera,Allen,1,1977
Ephemeroptera,Allen,1,MS ?
Ephemeroptera,"Edmunds, Berner & Traver",1,1958
Ephemeroptera,Funk,1,""
Ephemeroptera,Funk,1,2006
Ephemeroptera,Lugo-Ortiz & McCafferty,1,1994
Ephemeroptera,Waltz & McCafferty,1,""
Geophilomorpha,Saeger,1,""
Geophilomorpha,Wood,8,""
Hemiptera,Cockerell,1,1900
Hemiptera,Davis,1,1923
Hemiptera,DeLong,1,1980
Hemiptera,Haldeman,2,1853[1854]
Hemiptera,McAtee & Malloch,5,1925
Hemiptera,StÃ¥l,1,1862
Hemiptera,Uhler,1,1861
Hemiptera,Uhler,5,1863
Hemiptera,Uhler,1,1870
Hemiptera,Van Duzee,2,1903
Hemiptera,Van Duzee,2,1904
Hemiptera,Van Duzee,2,1910
Hymenoptera,? [unreadable],1,""
Hymenoptera,?_____,1,""
Hymenoptera,?_______,5,""
Hymenoptera,?________,1,""
Hymenoptera,Aaron,32,1885
Hymenoptera,Allen,13,""
Hymenoptera,Allen & Krombein,1,""
Hymenoptera,Andre,1,""
Hymenoptera,Andre,1,1882
Hymenoptera,Andre,1,1887
Hymenoptera,Ashmead,15,""
Hymenoptera,Ashmead,5,1894
Hymenoptera,Baker,1,""
Hymenoptera,Banks,3,""
Hymenoptera,Banks,8,1941
Hymenoptera,Bartlett,2,1912
Hymenoptera,Bassett,5,1863
Hymenoptera,Bassett,8,1864
Hymenoptera,Bassett,2,1870
Hymenoptera,Bassett,29,1881
Hymenoptera,Bassett,1,1889
Hymenoptera,Bassett,38,1890
Hymenoptera,Bassett,40,1900
Hymenoptera,Bequaert,1,""
Hymenoptera,BeutenmÃ¼ller,1,""
Hymenoptera,BeutenmÃ¼ller,1,1909
Hymenoptera,Beutenmuller,1,1892
Hymenoptera,Beutenmuller,2,1907
Hymenoptera,Beutenmuller,1,1909
Hymenoptera,Blake,68,1871
Hymenoptera,Blake,12,1872
Hymenoptera,Blake,28,1879
Hymenoptera,Blake,21,1886
Hymenoptera,Bradley,19,""
Hymenoptera,Bradley,2,1902
Hymenoptera,Bradley,1,1903
Hymenoptera,Bradley,1,1905
Hymenoptera,Bradley,6,1908
Hymenoptera,Bradley,1,1913
Hymenoptera,Bradley,2,1916
Hymenoptera,Bradley,2,1917
Hymenoptera,Bradley,1,1942
Hymenoptera,Brown,1,1943
Hymenoptera,Brues,4,1905
Hymenoptera,Cameron,1,""
Hymenoptera,Cockerell,84,""
Hymenoptera,Cockerell,9,1894
Hymenoptera,Cockerell,19,1895
Hymenoptera,Cockerell,15,1896
Hymenoptera,Cockerell,3,1897
Hymenoptera,Cockerell,13,1898
Hymenoptera,Cockerell,43,1903
Hymenoptera,Cockerell,6,1905
Hymenoptera,Cockerell,1,1906
Hymenoptera,Cockerell,2,1907
Hymenoptera,Cockerell & Casad,2,1894
Hymenoptera,Cockerell & Casad,3,1895
Hymenoptera,Cockerell & Fox,9,1897
Hymenoptera,Cockerell & Porter,1,""
Hymenoptera,Cockerell & Porter,1,1899
Hymenoptera,Crawford,7,""
Hymenoptera,Crawford,1,1902
Hymenoptera,Crawford,2,1904
Hymenoptera,Cresson,20,""
Hymenoptera,Cresson,32,1863
Hymenoptera,Cresson,247,1864
Hymenoptera,Cresson,384,1865
Hymenoptera,Cresson,108,1867
Hymenoptera,Cresson,1,1867[1868]
Hymenoptera,Cresson,188,1868
Hymenoptera,Cresson,5,1868[1869]
Hymenoptera,Cresson,62,1869
Hymenoptera,Cresson,77,1870
Hymenoptera,Cresson,2,1871
Hymenoptera,Cresson,291,1872
Hymenoptera,Cresson,12,1872[1873]
Hymenoptera,Cresson,196,1873
Hymenoptera,Cresson,21,1873[1874]
Hymenoptera,Cresson,7,1874
Hymenoptera,Cresson,1,1875
Hymenoptera,Cresson,16,1875
Hymenoptera,Cresson,1,1875[1876]
Hymenoptera,Cresson,2,1876
Hymenoptera,Cresson,69,1877
Hymenoptera,Cresson,319,1878
Hymenoptera,Cresson,60,1878[1879]
Hymenoptera,Cresson,94,1879
Hymenoptera,Cresson,176,1880
Hymenoptera,Cresson,10,1881
Hymenoptera,Cresson,18,1881[1882]
Hymenoptera,Cresson,1,1882
Hymenoptera,Cresson,1,1887
Hymenoptera,Cresson,1,1890
Hymenoptera,Cresson?,1,""
Hymenoptera,Davis,4,""
Hymenoptera,Davis,1,1893
Hymenoptera,Davis,3,1894
Hymenoptera,Davis,20,1895
Hymenoptera,Davis,90,1897
Hymenoptera,Davis,2,1897[1868]
Hymenoptera,Davis,117,1897[1898]
Hymenoptera,Davis,29,1898
Hymenoptera,Dunning,4,""
Hymenoptera,Dunning,1,1896
Hymenoptera,Dunning,2,1897
Hymenoptera,Dunning,3,1898
Hymenoptera,Emery,3,""
Hymenoptera,Emery,4,1886
Hymenoptera,Emery,3,1887
Hymenoptera,Emery & Forel,1,1879
Hymenoptera,Evans,4,""
Hymenoptera,Fent. [?]* ,1,""
Hymenoptera,Fernald,4,""
Hymenoptera,Forel,1,""
Hymenoptera,Fox,7,""
Hymenoptera,Fox,3,1890
Hymenoptera,Fox,17,1891
Hymenoptera,Fox,32,1892
Hymenoptera,Fox,34,1893
Hymenoptera,Fox,21,1893[1894]
Hymenoptera,Fox,7,1894
Hymenoptera,Fox,45,1895
Hymenoptera,Fox,7,1895[1896]
Hymenoptera,Fox,11,1896
Hymenoptera,Fox,1,1897
Hymenoptera,Fox,16,1898
