Year,Taxon,Collector,weight
1884,Coleoptera,Ehlers,1
1884,Coleoptera,LeConte,4
1884,Lepidoptera,Aaron,2
1884,Orthoptera,Bolivar,2
1884,Orthoptera,Bruner,1
1885,Coleoptera,Horn,1
1885,Coleoptera,"Smith, J.B.",3
1885,Hymenoptera,Aaron,32
1885,Orthoptera,Bruner,8
1886,Coleoptera,Van de Poll,4
1886,Hymenoptera,Blake,21
1886,Hymenoptera,Emery,4
1886,Psocoptera,Aaron,8
1887,Coleoptera,Brendel,1
1887,Coleoptera,Van de Poll,4
1887,Diptera,Williston,2
1887,Hymenoptera,Andre,1
1887,Hymenoptera,Cresson,1
1887,Hymenoptera,Emery,3
1887,Hymenoptera,Weed,1
1888,Hymenoptera,McFarland,2
1888,Hymenoptera,Weed,3
1889,Blattodea,??,1
1889,Coleoptera,Blanchard,1
1889,Coleoptera,Brendel,4
1889,Coleoptera,Ritsema,1
1889,Coleoptera,"Smith, J.B.",3
1889,Coleoptera,Van de Poll,1
1889,Hymenoptera,Bassett,1
1889,Hymenoptera,Robertson,10
1889,Lepidoptera,Skinner,3
1889,Lepidoptera,Skinner & Aaron,1
1889,Orthoptera,Bruner,12
1890,Coleoptera,Brendel,20
1890,Coleoptera,Dietz,1
1890,Coleoptera,Pusa,1
1890,Coleoptera,Van de Poll,3
1890,Hymenoptera,Bassett,38
1890,Hymenoptera,Cresson,1
1890,Hymenoptera,Fox,3
1890,Hymenoptera,Robertson,9
1890,Lepidoptera,Skinner,2
1890,Odonata,Calvert,3
1890,Orthoptera,Bruner,12
1890,Orthoptera,Scudder,3
1891,Coleoptera,Dietz,1
1891,Coleoptera,Kannegieter,1
1891,Coleoptera,Van de Poll,5
1891,Hymenoptera,Fox,17
1891,Lepidoptera,Skinner,1
1891,Odonata,Calvert,1
1891,Orthoptera,Bruner,10
1891,Orthoptera,Brunner,1
1892,Coleoptera,Brendel,6
1892,Coleoptera,Kerremans,1
1892,Coleoptera,Wickham,1
1892,Hymenoptera,Beutenmuller,1
1892,Hymenoptera,Fox,32
1892,Hymenoptera,Marlatt,1
1892,Hymenoptera,Robertson,1
1892,Lepidoptera,Laurent,1
1892,Lepidoptera,Skinner,4
1892,Lepidoptera,Skinner & Mengel,3
1892,Orthoptera,Blatchley,1
1892,Orthoptera,Scudder,22
1893,Coleoptera,Brendel,13
1893,Coleoptera,Hamilton,3
1893,Coleoptera,Kerremans,2
1893,Diptera,Williston,1
1893,Hymenoptera,Davis,1
1893,Hymenoptera,Fox,34
1893,Lepidoptera,Skinner,2
1893,Odonata,Calvert,1
1893,Orthoptera,Blatchley,1
1893,Orthoptera,Bruner,2
1893,Orthoptera,Morse,1
1893,Orthoptera,Scudder,7
1894,Coleoptera,Brendel,3
1894,Coleoptera,Hubbard,1
1894,Coleoptera,Kerremans,1
1894,Hymenoptera,Ashmead,5
1894,Hymenoptera,Cockerell,9
1894,Hymenoptera,Cockerell & Casad,2
1894,Hymenoptera,Davis,3
1894,Hymenoptera,Fox,21
1894,Hymenoptera,Fox,7
1894,Lepidoptera,Fernald,1
1894,Lepidoptera,Skinner,1
1894,Orthoptera,Blatchley,1
1894,Orthoptera,Bruner,1
1894,Orthoptera,Morse,3
1894,Orthoptera,Scudder,39
1895,Coleoptera,Casey,1
1895,Coleoptera,Horn,4
1895,Coleoptera,Nonfried,1
1895,Coleoptera,Roberts,2
1895,Coleoptera,Schwarz,1
1895,Hymenoptera,Cockerell,19
1895,Hymenoptera,Cockerell & Casad,3
1895,Hymenoptera,Davis,20
1895,Hymenoptera,Fox,45
1895,Hymenoptera,Marlatt,1
1895,Lepidoptera,Skinner,5
1895,Odonata,Calvert,3
1895,Orthoptera,Bruner,1
1895,Orthoptera,Hancock,1
1895,Orthoptera,Morse,12
1895,Phasmatodea,Scudder,1
1896,Coleoptera,Dietz,33
1896,Hymenoptera,Cockerell,15
1896,Hymenoptera,Dunning,1
1896,Hymenoptera,Fox,7
1896,Hymenoptera,Fox,11
1896,Hymenoptera,Harrington,1
1896,Hymenoptera,Marlatt,36
1896,Lepidoptera,Skinner,2
1896,Mantodea,Scudder,5
1896,Orthoptera,Hancock,6
1896,Orthoptera,McNeill,1
1896,Orthoptera,Morse,1
1896,Orthoptera,Scudder,10
1897,Coleoptera,Hayward,3
1897,Coleoptera,Kerremans,1
1897,Hymenoptera,Cockerell,3
1897,Hymenoptera,Cockerell & Fox,9
1897,Hymenoptera,Davis,90
1897,Hymenoptera,Dunning,2
1897,Hymenoptera,Fox,1
1897,Hymenoptera,Lewis,1
1897,Lepidoptera,Skinner,6
1897,Orthoptera,Bruner,1
1897,Orthoptera,Saussure,1
1897,Orthoptera,Scudder,103
1898,Coleoptera,Boileau,1
1898,Diptera,Hough,7
1898,Diptera,Johnson,7
1898,Hymenoptera,Cockerell,13
1898,Hymenoptera,Davis,117
1898,Hymenoptera,Davis,29
1898,Hymenoptera,Dunning,3
1898,Hymenoptera,Fox,16
1898,Hymenoptera,Viereck,1
1898,Lepidoptera,Fernald,1
1898,Odonata,Calvert,1
1898,Orthoptera,Blatchley,1
1898,Orthoptera,Bolivar,1
1898,Orthoptera,Hancock,2
1898,Orthoptera,Lugger,1
1898,Orthoptera,Scudder,27
1899,Coleoptera,Cockerell,1
1899,Coleoptera,Fall,10
1899,Hymenoptera,Cockerell & Porter,1
1899,Hymenoptera,Fox,65
1899,Lepidoptera,Skinner,3
1899,Odonata,Calvert,3
1899,Orthoptera,Bruner,1
1899,Orthoptera,Hancock,5
1899,Orthoptera,McNeill,1
1899,Orthoptera,Morse,6
1899,Orthoptera,Scudder,61
1900,Blattodea,Scudder,2
1900,Coleoptera,Hayward,1
1900,Coleoptera,Kerremans,6
1900,Hemiptera,Cockerell,1
1900,Hymenoptera,Bassett,40
1900,Hymenoptera,MacGillivray,1
1900,Hymenoptera,Riley & Bassett,1
1900,Mantodea,Rehn,1
1900,Orthoptera,Blatchley,1
1900,Orthoptera,Bruner,25
1900,Orthoptera,Hancock,10
1900,Orthoptera,Morse,7
1900,Orthoptera,Rehn,7
1900,Orthoptera,Scudder,18
1900,Phasmatodea,Scudder,2
1901,Blattodea,Rehn,1
1901,Dermaptera,Rehn,2
1901,Hymenoptera,Viereck,3
1901,Lepidoptera,Bruce,1
1901,Lepidoptera,Newcomb,1
1901,Mantodea,Rehn,7
1901,Orthoptera,Bruner,1
1901,Orthoptera,McNeill,1
1901,Orthoptera,Morse,9
1901,Orthoptera,Rehn,9
1901,Orthoptera,Scudder,11
1901,Phasmatodea,Scudder,2
1902,Blattodea,Rehn,2
1902,Blattodea,Scudder,1
1902,Diptera,Melander,11
1902,Hymenoptera,Bradley,2
1902,Hymenoptera,Crawford,1
1902,Hymenoptera,Viereck,13
1902,Lepidoptera,Skinner,6
1902,Odonata,Calvert,7
1902,Orthoptera,Hancock,19
1902,Orthoptera,Rehn,17
1902,Orthoptera,Scudder,22
1902,Orthoptera,Scudder & Cockerell,2
1902,Phasmatodea,Rehn,1
1902,Phasmatodea,Scudder,2
1903,Blattodea,Rehn,8
1903,Blattodea,"Rehn, J.A.G.",1
1903,Coleoptera,Beutenmuller,2
1903,Coleoptera,Kerremans,1
1903,Coleoptera,Skinner,4
1903,Diptera,Coquillett In Johnson,2
1903,Diptera,Johnson in Skinner,3
1903,Hemiptera,Van Duzee,2
1903,Hymenoptera,Bradley,1
1903,Hymenoptera,Cockerell,43
1903,Hymenoptera,Graenicher,5
1903,Hymenoptera,Viereck,7
1903,Hymenoptera,Viereck,69
1903,Lepidoptera,Kearfott,1
1903,Lepidoptera,Skinner,3
1903,Odonata,Calvert,5
1903,Orthoptera,Blatchley,1
1903,Orthoptera,Bruner,2
1903,Orthoptera,Morse,3
1903,Orthoptera,Rehn,6
1903,Orthoptera,Rehn & Cockerell,1
1903,Orthoptera,Walker,1
1903,Phasmatodea,Scudder,1
1904,Blattodea,Rehn,2
1904,Blattodea,"Rehn, J.A.G.",1
1904,Coleoptera,Skinner,3
1904,Diptera,Back,3
1904,Hemiptera,Van Duzee,2
1904,Hymenoptera,Crawford,2
1904,Hymenoptera,Graenicher,3
1904,Hymenoptera,Viereck,79
1904,Hymenoptera,Viereck & Cockerell,20
1904,Lepidoptera,Skinner,1
1904,Mantodea,Rehn,4
1904,Orthoptera,Bruner,47
1904,Orthoptera,Hancock,14
1904,Orthoptera,Morse,15
1904,Orthoptera,Rehn,19
1904,Orthoptera,Rehn & Hebard,1
1904,Phasmatodea,Rehn,8
1905,Blattodea,Rehn,1
1905,Coleoptera,Boileau,1
1905,Coleoptera,Fall,6
1905,Coleoptera,Skinner,6
1905,Hymenoptera,Bradley,1
1905,Hymenoptera,Brues,4
1905,Hymenoptera,Cockerell,6
1905,Hymenoptera,Viereck,6
1905,Lepidoptera,Skinner,4
1905,Odonata,Calvert,1
1905,Orthoptera,Bruner,35
1905,Orthoptera,Morse,2
1905,Orthoptera,Rehn,26
1905,Orthoptera,Rehn & Hebard,7
1905,Phasmatodea,Rehn,2
1906,Blattodea,Bruner,2
1906,Blattodea,Rehn,4
1906,Coleoptera,Skinner,1
1906,Delete,Rehn,1
1906,Diptera,Cresson,6
1906,Diptera,Melander,2
1906,Hymenoptera,Cockerell,1
1906,Hymenoptera,Skinner,1
1906,Lepidoptera,Skinner,3
1906,Mantodea,Rehn,1
1906,Odonata,Calvert,1
1906,Orthoptera,Bruner,22
1906,Orthoptera,Hancock,18
1906,Orthoptera,Morse,8
1906,Orthoptera,Rehn,12
1906,Orthoptera,Rehn & Hebard,3
1906,Phasmatodea,Rehn,2
1907,Coleoptera,Fall,3
1907,Diptera,Cresson,4
1907,Hymenoptera,Beutenmuller,2
1907,Hymenoptera,Cockerell,2
1907,Hymenoptera,Viereck,13
1907,Lepidoptera,Haimbach,2
1907,Lepidoptera,Skinner,1
1907,Mantodea,Rehn,3
1907,Odonata,Calvert,3
1907,Orthoptera,Bruner,10
1907,Orthoptera,Caudell,1
1907,Orthoptera,Hancock,14
1907,Orthoptera,Rehn,22
1907,Orthoptera,Rehn & Hebard,4
1907,Phasmatodea,Rehn,2
1908,Coleoptera,Kerremans,1
1908,Diptera,Cresson,3
1908,Hymenoptera,Bradley,6
1908,Lepidoptera,Grossbeck,6
1908,Lepidoptera,Haimbach,5
1908,Lepidoptera,Jones,1
1908,Lepidoptera,Skinner,1
1908,Mantodea,Rehn & Hebard,1
1908,Odonata,Calvert,2
1908,Odonata,Williamson,1
1908,Orthoptera,Bruner,37
1908,Orthoptera,Hancock,2
1908,Orthoptera,Hebard,1
1908,Orthoptera,Morse,1
1908,Orthoptera,Rehn,3
1908,Orthoptera,Rehn & Hebard,4
1908,Phasmatodea,Redtenbacker,1
1909,Blattodea,Rehn & Hebard,2
1909,Coleoptera,Fall,2
1909,Coleoptera,Kerremans,1
1909,Diptera,Back,3
1909,Hymenoptera,Beutenmuller,1
1909,Hymenoptera,Beutenmuller,1
1909,Hymenoptera,Viereck,3
1909,Mantodea,Rehn & Hebard,1
1909,Odonata,Calvert,15
1909,Orthoptera,Morse,1
1909,Orthoptera,Rehn,3
1909,Orthoptera,Rehn & Hebard,9
1909,Phasmatodea,Rehn,1
1909,Phasmatodea,Rehn & Hebard,2
1910,Blattodea,Rehn & Hebard,1
1910,Coleoptera,Fall,1
1910,Coleoptera,Kerremans,1
1910,Diptera,Cresson,1
1910,Hemiptera,Van Duzee,2
1910,Orthoptera,Bruner,23
1910,Orthoptera,Hancock,6
1910,Orthoptera,Rehn,2
1910,Orthoptera,Rehn & Hebard,2
1911,Blattodea,Rehn,1
1911,Coleoptera,Kerremans,1
1911,Diptera,Cresson,9
1911,Hymenoptera,Franklin,1
1911,Lepidoptera,Skinner,13
1911,Mantodea,Rehn,3
1911,Odonata,Muttkowski,1
1911,Orthoptera,Bruner,54
1911,Orthoptera,Rehn,1
1911,Orthoptera,Rehn,3
1911,Phasmatodea,Rehn,4
1912,Coleoptera,Moellenkamp,1
1912,Diptera,Aldrich,1
1912,Diptera,Alexander,5
1912,Diptera,Cresson,5
1912,Hymenoptera,Bartlett,2
1912,Hymenoptera,Hooker,5
1912,Lepidoptera,Skinner,2
1912,Mantodea,Rehn,2
1912,Odonata,Calvert,1
1912,Odonata,Walker,1
1912,Orthoptera,Fox,2
1912,Orthoptera,Hancock,24
1912,Orthoptera,Rehn,1
1912,Orthoptera,Rehn & Hebard,7
1913,Blattodea,Rehn,3
1913,Diptera,Cresson,2
1913,Diptera,Malloch,1
1913,Diptera,Melander,1
1913,Diptera,Van Duzee,4
1913,Hymenoptera,Bradley,1
1913,Hymenoptera,Franklin,4
1913,Lepidoptera,Skinner,3
1913,Mantodea,Rehn,3
1913,Odonata,Calvert,1
1913,Orthoptera,Bruner,19
1913,Orthoptera,Hancock,11
1913,Orthoptera,Hebard,2
1913,Orthoptera,Rehn,21
1913,Phasmatodea,Rehn,1
1914,Blattodea,??,1
1914,Dermaptera,Rehn & Hebard,1
1914,Diptera,Alexander,6
1914,Diptera,Cresson,9
1914,Diptera,Dietz,6
1914,Diptera,Malloch,38
1914,Diptera,Van Duzee,3
1914,Hymenoptera,Viereck & Cockerell,7
1914,Hymenoptera,Wheeler & Mann,2
1914,Lepidoptera,Ramsden,1
1914,Lepidoptera,Skinner,2
1914,Lepidoptera,Williams,3
1914,Orthoptera,Rehn,1
1914,Orthoptera,Rehn & Hebard,22
1914,Phasmatodea,Rehn & Hebard,1
1915,Blattodea,Rehn,2
1915,Coleoptera,Blanchard,2
1915,Coleoptera,Manee,2
1915,Diptera,Cresson,15
1915,Diptera,Malloch,1
1915,Diptera,Van Duzee,1
1915,Hymenoptera,Merrill,1
1915,Lepidoptera,Haimbach,8
1915,Lepidoptera,Ramsden,1
1915,Orthoptera,Bruner,49
1915,Orthoptera,Hancock,41
1915,Orthoptera,Hebard,2
1915,Orthoptera,Rehn,1
1915,Orthoptera,Rehn & Hebard,11
1916,Blattodea,Hebard,17
1916,Blattodea,Rehn,12
1916,Coleoptera,Angell,2
1916,Dermaptera,Rehn,1
1916,Diptera,Alexander,1
1916,Diptera,Cresson,15
1916,Diptera,Dietz,10
1916,Hymenoptera,Bradley,2
1916,Lepidoptera,Mengel,2
1916,Lepidoptera,Skinner,1
1916,Mantodea,Rehn,2
1916,Orthoptera,Bruner,14
1916,Orthoptera,Caudell,1
1916,Orthoptera,Hebard,1
1916,Orthoptera,Rehn,6
1916,Orthoptera,Rehn & Hebard,11
1917,Blattodea,Hebard,9
1917,Blattodea,Rehn,2
1917,Coleoptera,Angell,1
1917,Coleoptera,Blanchard,1
1917,Coleoptera,Fall,1
1917,Dermaptera,Hebard,3
1917,Dermaptera,Rehn,1
1917,Dermaptera,Rehn & Hebard,1
1917,Diptera,Alexander,2
1917,Diptera,Cresson,10
1917,Diptera,Dietz,4
1917,Diptera,Hine,1
1917,Hymenoptera,Bradley,2
1917,Hymenoptera,Parker,3
1917,Hymenoptera,Viereck,33
1917,Hymenoptera,Viereck,37
1917,Lepidoptera,Skinner,6
1917,Odonata,Calvert,1
1917,Odonata,Williamson,1
1917,Orthoptera,Hebard,1
1917,Orthoptera,Rehn,19
1918,Blattodea,Rehn,7
1918,Coleoptera,??,1
1918,Diptera,Cresson,29
1918,Diptera,Dietz,27
1918,Diptera,Malloch,30
1918,Diptera,Melander,1
1918,Lepidoptera,Skinner,1
1918,Mantodea,Rehn,2
1918,Odonata,Kennedy,1
1918,Orthoptera,Chopard,3
1918,Orthoptera,Hancock,1
1918,Orthoptera,Hebard,11
1918,Orthoptera,Rehn,37
1918,Orthoptera,Rehn & Hebard,3
1918,Phasmatodea,Rehn,1
1919,Blattodea,Hebard,15
1919,Coleoptera,Van Dyke,1
1919,Dermaptera,Hebard,3
1919,Diptera,Alexander,1
1919,Diptera,Cresson,26
1919,Diptera,Dietz,6
1919,Diptera,Hine,3
1919,Diptera,Van Duzee,1
1919,Lepidoptera,Mengel,1
1919,Lepidoptera,Skinner,2
1919,Mantodea,Hebard,2
1919,Odonata,Calvert,3
1919,Orthoptera,Bruner,29
1919,Orthoptera,Hebard,13
1919,Orthoptera,Rehn,7
1919,Orthoptera,Rehn & Hebard,1
1919,Phasmatodea,Hebard,9
1920,Blattodea,Hebard,13
1920,Coleoptera,Aurivillius,1
1920,Coleoptera,Champion,3
1920,Diptera,Cresson,8
1920,Diptera,Dietz,1
1920,Diptera,Hine,1
1920,Diptera,Malloch,12
1920,Hymenoptera,Kinsey,5
1920,Hymenoptera,Viereck,1
1920,Lepidoptera,Skinner,13
1920,Mantodea,Hebard,12
1920,Mantodea,Rehn,3
1920,Odonata,Calvert,2
1920,Orthoptera,Bruner,3
1920,Orthoptera,Hebard,14
1920,Orthoptera,Rehn,3
1920,Orthoptera,Rehn & Hebard,10
1920,Phasmatodea,Hebard,1
1920,Phasmatodea,Rehn,2
1921,Blattodea,Hebard,36
1921,Dermaptera,Hebard,1
1921,Dermaptera,Rehn,3
1921,Diptera,Dietz,32
1921,Diptera,W. G. Dietz,1
1921,Hymenoptera,Weld,1
1921,Lepidoptera,Ramsden,1
1921,Lepidoptera,Skinner,3
1921,Odonata,Calvert,1
1921,Orthoptera,Rehn,4
1921,Phasmatodea,Hebard,1
1922,Blattodea,Cabrera,2
1922,Blattodea,Hebard,2
1922,Blattodea,Rehn,6
1922,Blattodea,"Rehn, J.A.G.",1
1922,Coleoptera,Leng & Mutchler,2
1922,Dermaptera,Hebard,1
1922,Diptera,Cresson,1
1922,Diptera,Cresson,2
1922,Hymenoptera,Kinsey,24
1922,Hymenoptera,Kinsey & Ayers,1
1922,Hymenoptera,Viereck,3
1922,Mantodea,Hebard,4
1922,Orthoptera,Hebard,78
1923,Blattodea,Hebard,7
1923,Dermaptera,Hebard,11
1923,Diptera,Cole,6
1923,Diptera,Cresson,3
1923,Hemiptera,Davis,1
1923,Hymenoptera,Frison,1
1923,Lepidoptera,Skinner,1
1923,Lepidoptera,Skinner & Ramsden,1
1923,Lepidoptera,Skinner & Williams,1
1923,Orthoptera,Hebard,73
1923,Orthoptera,Rehn,1
1923,Phasmatodea,Hebard,4
1924,Blattodea,Hebard,2
1924,Dermaptera,Hebard,3
1924,Diptera,Cresson,7
1924,Diptera,Garrett,1
1924,Diptera,Van Duzee,3
1924,Mantodea,Hebard,1
1924,Odonata,Calvert,2
1924,Orthoptera,Hebard,45
1924,Phasmatodea,Hebard,7
1925,Coleoptera,Notman,1
1925,Dermaptera,Rehn,1
1925,Diptera,Bromley,2
1925,Diptera,Cresson,14
1925,Diptera,Curran,2
1925,Hemiptera,McAtee & Malloch,5
1925,Orthoptera,Hebard,8
1926,Blattodea,Hebard,53
1926,Diptera,Cresson,21
1926,Diptera,Van Duzee,2
1926,Hymenoptera,Mitchell,2
1926,Lepidoptera,Jones,1
1926,Lepidoptera,Williams,9
1926,Orthoptera,Hebard,5
1926,Orthoptera,Karny,1
1927,Blattodea,Rehn & Hebard,38
1927,Coleoptera,"Brown, W.J.",1
1927,Coleoptera,Hatch,2
1927,Dermaptera,Hebard,4
1927,Diptera,Bromley,7
1927,Diptera,Melander,1
1927,Lepidoptera,Gunder,2
1927,Lepidoptera,Williams,7
1927,Mantodea,Giglio-Tos,1
1927,Odonata,Huggins,1
1927,Orthoptera,Hebard,42
1927,Orthoptera,Rehn,1
1928,Blattodea,Hanitsch,1
1928,Blattodea,Rehn,15
1928,Coleoptera,Gentner,2
1928,Hymenoptera,Mitchell,1
1928,Lepidoptera,Haimbach,5
1928,Orthoptera,Hebard,46
1929,Blattodea,Hebard,30
1929,Coleoptera,Buchanan,1
1929,Coleoptera,Rivnay,3
1929,Dermaptera,Hebard,1
1929,Diptera,Cresson,14
1929,Hymenoptera,Mitchell,3
1929,Lepidoptera,Klots,1
1929,Orthoptera,Hebard,4
1929,Orthoptera,Hubbell,1
1929,Orthoptera,Rehn,20
1930,Blattodea,Rehn,9
1930,Diptera,Cresson,17
1930,Diptera,Hull,9
1930,Diptera,Leonard,1
1930,Hymenoptera,Mitchell,38
1930,Lepidoptera,Haimbach,1
1930,Odonata,Needham,1
1930,Orthoptera,Rehn,4
1930,Orthoptera,Vignon,1
1931,Blattodea,Rehn,4
1931,Blattodea,"Rehn, J.A.G.",1
1931,Diptera,Bromley,1
1931,Diptera,Cresson,6
1931,Lepidoptera,Cadbury,1
1931,Lepidoptera,Williams,2
1931,Lepidoptera,Williams & Bell,8
1931,Mantodea,Hebard,1
1931,Odonata,Calvert,8
1931,Orthoptera,Hebard,9
1931,Orthoptera,Karny,1
1932,Blattodea,Rehn,16
1932,Blattodea,"Rehn, J. A. G.",1
1932,Coleoptera,Dawson,1
1932,Coleoptera,Fletcher,1
1932,Dermaptera,Hebard,1
1932,Diptera,Cresson,8
1932,Diptera,Painter,1
1932,Orthoptera,Hebard,29
1932,Orthoptera,Hubbell,2
1932,Phasmatodea,Hebard,2
1933,Blattodea,Hebard,14
1933,Blattodea,Rehn,1
1933,Blattodea,Rehn,5
1933,Blattodea,"Rehn, J.A.G.",1
1933,Coleoptera,Blaisdell,1
1933,Dermaptera,Hebard,2
1933,Dermaptera,Rehn,1
1933,Diptera,Cresson,5
1933,Lepidoptera,Williams,1
1933,Orthoptera,Hebard,14
1933,Phasmatodea,Hebard,7
1933,Phasmatodea,Rehn,1
